locus_tag	ftype	length_bp	gene	EC_number	COG	product
LNBKKNJO_00001	CDS	162				hypothetical protein
LNBKKNJO_00002	CDS	1203				hypothetical protein
LNBKKNJO_00003	CDS	627	pdtaR		COG3707	putative transcriptional regulatory protein pdtaR
LNBKKNJO_00004	tRNA	77				tRNA-Leu(caa)
LNBKKNJO_00005	CDS	1341	cya_1	4.6.1.1	COG2114	Adenylate cyclase
LNBKKNJO_00006	CDS	579				hypothetical protein
LNBKKNJO_00007	CDS	1458	cydA	1.10.3.-	COG1271	Cytochrome bd ubiquinol oxidase subunit 1
LNBKKNJO_00008	CDS	1041	cydB	7.1.1.7	COG1294	Cytochrome bd-I ubiquinol oxidase subunit 2
LNBKKNJO_00009	CDS	1599	cydD		COG4988	ATP-binding/permease protein CydD
LNBKKNJO_00010	CDS	1695			COG1132	putative ABC transporter ATP-binding/permease protein
LNBKKNJO_00011	CDS	1401	lysX_1		COG1190	Lysylphosphatidylglycerol biosynthesis bifunctional protein LysX
LNBKKNJO_00012	CDS	906	tesB_1	3.1.2.-	COG1946	Acyl-CoA thioesterase 2
LNBKKNJO_00013	CDS	1419	pyk	2.7.1.40	COG0469	Pyruvate kinase
LNBKKNJO_00014	CDS	756		3.1.1.74		putative cutinase
LNBKKNJO_00015	CDS	441				hypothetical protein
LNBKKNJO_00016	CDS	396				hypothetical protein
LNBKKNJO_00017	CDS	897				hypothetical protein
LNBKKNJO_00018	CDS	1131	lgt	2.5.1.145	COG0682	Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase
LNBKKNJO_00019	CDS	810	trpA	4.2.1.20	COG0159	Tryptophan synthase alpha chain
LNBKKNJO_00020	CDS	1278	trpB	4.2.1.20	COG0133	Tryptophan synthase beta chain
LNBKKNJO_00021	CDS	819	trpC	4.1.1.48	COG0134	Indole-3-glycerol phosphate synthase
LNBKKNJO_00022	CDS	648				hypothetical protein
LNBKKNJO_00023	CDS	1539	trpE	4.1.3.27	COG0147	Anthranilate synthase component 1
LNBKKNJO_00024	CDS	459	bcpB	1.11.1.15	COG1225	Putative peroxiredoxin
LNBKKNJO_00025	CDS	1083	chaA		COG0387	Sodium-potassium/proton antiporter ChaA
LNBKKNJO_00026	CDS	852	pknF_1	2.7.11.1	COG0515	Serine/threonine-protein kinase PknF
LNBKKNJO_00027	CDS	2823	cphA	6.3.2.29	COG0769	Cyanophycin synthetase
LNBKKNJO_00028	CDS	861	cphE	3.4.15.6		Cyanophycinase
LNBKKNJO_00029	CDS	1392				hypothetical protein
LNBKKNJO_00030	CDS	345				hypothetical protein
LNBKKNJO_00031	CDS	1092				hypothetical protein
LNBKKNJO_00032	CDS	336	hisI	3.5.4.19	COG0139	Phosphoribosyl-AMP cyclohydrolase
LNBKKNJO_00033	CDS	786	hisF	4.3.2.10	COG0107	Imidazole glycerol phosphate synthase subunit HisF
LNBKKNJO_00034	CDS	813	impA	3.1.3.25	COG0483	putative inositol 1-monophosphatase ImpA
LNBKKNJO_00035	CDS	735	priA_1	5.3.1.16	COG0106	Phosphoribosyl isomerase A
LNBKKNJO_00036	CDS	633	hisH	4.3.2.10		Imidazole glycerol phosphate synthase subunit HisH
LNBKKNJO_00037	CDS	633	hisB	4.2.1.19	COG0131	Imidazoleglycerol-phosphate dehydratase
LNBKKNJO_00038	CDS	1149	hisC	2.6.1.9	COG0079	Histidinol-phosphate aminotransferase
LNBKKNJO_00039	CDS	1236	hisD	1.1.1.23	COG0141	Histidinol dehydrogenase
LNBKKNJO_00040	CDS	411				hypothetical protein
LNBKKNJO_00041	CDS	858	nadC	2.4.2.19	COG0157	Nicotinate-nucleotide pyrophosphorylase [carboxylating]
LNBKKNJO_00042	CDS	1575	nadB	1.4.3.16	COG0029	L-aspartate oxidase
LNBKKNJO_00043	CDS	1059	nadA	2.5.1.72	COG0379	Quinolinate synthase A
LNBKKNJO_00044	CDS	708				hypothetical protein
LNBKKNJO_00045	CDS	1341				putative inactive lipase
LNBKKNJO_00046	CDS	699				putative protein
LNBKKNJO_00047	CDS	225				putative protein
LNBKKNJO_00048	CDS	1050	bioB	2.8.1.6	COG0502	Biotin synthase
LNBKKNJO_00049	CDS	693				hypothetical protein
LNBKKNJO_00050	CDS	681	bioD	6.3.3.3	COG0132	ATP-dependent dethiobiotin synthetase BioD
LNBKKNJO_00051	CDS	1170	bioF1	2.3.1.47	COG0156	8-amino-7-oxononanoate synthase 1
LNBKKNJO_00052	CDS	1314	bioA	2.6.1.62	COG0161	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase
LNBKKNJO_00053	CDS	453				hypothetical protein
LNBKKNJO_00054	CDS	765				hypothetical protein
LNBKKNJO_00055	CDS	2166				hypothetical protein
LNBKKNJO_00056	CDS	2178	glgX_1	3.2.1.-	COG1523	Glycogen operon protein GlgX 
LNBKKNJO_00057	CDS	2298	treY	5.4.99.15	COG3280	Putative maltooligosyl trehalose synthase
LNBKKNJO_00058	CDS	1764	treZ	3.2.1.141	COG0296	Malto-oligosyltrehalose trehalohydrolase
LNBKKNJO_00059	CDS	1326	ptsJ		COG1167	Vitamin B6 salvage pathway transcriptional repressor PtsJ
LNBKKNJO_00060	CDS	537				hypothetical protein
LNBKKNJO_00061	CDS	1281	ilvA	4.3.1.19	COG1171	L-threonine dehydratase biosynthetic IlvA
LNBKKNJO_00062	CDS	438		1.1.98.-		F420H(2)-dependent quinone reductase
LNBKKNJO_00063	CDS	231				hypothetical protein
LNBKKNJO_00064	CDS	483	plsB1_1		COG2937	Putative acyltransferase plsB1
LNBKKNJO_00065	CDS	1392	plsB1_2		COG2937	Putative acyltransferase plsB1
LNBKKNJO_00066	CDS	1695		6.2.1.3	COG1022	Long-chain-fatty-acid--CoA ligase FadD15
LNBKKNJO_00067	CDS	3543	dnaE1	2.7.7.7	COG0587	DNA polymerase III subunit alpha
LNBKKNJO_00068	CDS	432				putative protein
LNBKKNJO_00069	CDS	804				hypothetical protein
LNBKKNJO_00070	CDS	1017		1.-.-.-		putative oxidoreductase
LNBKKNJO_00071	CDS	411	glbN		COG2346	Group 1 truncated hemoglobin GlbN
LNBKKNJO_00072	CDS	606	lprI		COG4461	Lipoprotein LprI
LNBKKNJO_00073	CDS	738				hypothetical protein
LNBKKNJO_00074	CDS	885		5.4.99.-	COG0564	putative RNA pseudouridine synthase
LNBKKNJO_00075	CDS	534	lspA	3.4.23.36	COG0597	Lipoprotein signal peptidase
LNBKKNJO_00076	CDS	984	ansA	3.5.1.1	COG0252	putative L-asparaginase
LNBKKNJO_00077	CDS	1398	dinB1	2.7.7.7	COG0389	DNA polymerase IV 1
LNBKKNJO_00078	CDS	567	rsmA_1	2.1.1.182		Ribosomal RNA small subunit methyltransferase A
LNBKKNJO_00079	CDS	861				hypothetical protein
LNBKKNJO_00080	CDS	3201	ileS	6.1.1.5	COG0060	Isoleucine--tRNA ligase
LNBKKNJO_00081	CDS	360				hypothetical protein
LNBKKNJO_00082	CDS	192				hypothetical protein
LNBKKNJO_00083	CDS	1221	nhaP_1			K(+)/H(+) antiporter NhaP
LNBKKNJO_00084	CDS	813	limC	1.1.1.-		(-)-trans-carveol dehydrogenase
LNBKKNJO_00085	CDS	606	betI_1			HTH-type transcriptional regulator BetI
LNBKKNJO_00086	CDS	735			COG1136	putative ABC transporter ATP-binding protein
LNBKKNJO_00087	CDS	2388				hypothetical protein
LNBKKNJO_00088	tRNA	86				tRNA-Tyr(gta)
LNBKKNJO_00089	CDS	492				hypothetical protein
LNBKKNJO_00090	CDS	537				hypothetical protein
LNBKKNJO_00091	CDS	207				hypothetical protein
LNBKKNJO_00092	CDS	2760				hypothetical protein
LNBKKNJO_00093	CDS	162				hypothetical protein
LNBKKNJO_00094	CDS	1662	ethA_1	1.14.13.-	COG2072	FAD-containing monooxygenase EthA
LNBKKNJO_00095	CDS	1497				hypothetical protein
LNBKKNJO_00096	CDS	1056	gpsA2	1.1.1.94	COG0240	putative glycerol-3-phosphate dehydrogenase 2 [NAD(P)+]
LNBKKNJO_00097	CDS	312				hypothetical protein
LNBKKNJO_00098	CDS	999				hypothetical protein
LNBKKNJO_00099	CDS	315				hypothetical protein
LNBKKNJO_00100	CDS	1281				hypothetical protein
LNBKKNJO_00101	CDS	861	htpX_1	3.4.24.-	COG0501	Protease HtpX 
LNBKKNJO_00102	CDS	1008	hepT	2.5.1.30	COG0142	Heptaprenyl diphosphate synthase component 2
LNBKKNJO_00103	CDS	1239	menJ	1.3.99.38	COG0644	Menaquinone reductase
LNBKKNJO_00104	CDS	690				putative protein
LNBKKNJO_00105	CDS	369				putative protein
LNBKKNJO_00106	CDS	2031	COQ5_1	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
LNBKKNJO_00107	CDS	663				hypothetical protein
LNBKKNJO_00108	CDS	465				hypothetical protein
LNBKKNJO_00109	CDS	507				hypothetical protein
LNBKKNJO_00110	CDS	1152	mgtA_1	2.4.1.-	COG0438	GDP-mannose-dependent alpha-mannosyltransferase
LNBKKNJO_00111	CDS	525				hypothetical protein
LNBKKNJO_00112	CDS	1647	menD	2.2.1.9	COG1165	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase
LNBKKNJO_00113	CDS	789	bpoC	1.11.1.18	COG0596	Putative non-heme bromoperoxidase BpoC
LNBKKNJO_00114	CDS	984	menC	4.2.1.113	COG4948	o-succinylbenzoate synthase
LNBKKNJO_00115	CDS	1605	nfdA_1	3.5.1.91		N-substituted formamide deformylase
LNBKKNJO_00116	CDS	1602	lcfB_1	6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
LNBKKNJO_00117	CDS	687				hypothetical protein
LNBKKNJO_00118	CDS	903	menB_1	4.1.3.36	COG0447	1,4-dihydroxy-2-naphthoyl-CoA synthase
LNBKKNJO_00119	CDS	888	acr1	1.2.1.-	COG3320	Fatty acyl-CoA reductase
LNBKKNJO_00120	CDS	420				hypothetical protein
LNBKKNJO_00121	CDS	408				hypothetical protein
LNBKKNJO_00122	CDS	1278				hypothetical protein
LNBKKNJO_00123	CDS	285				hypothetical protein
LNBKKNJO_00124	CDS	297				hypothetical protein
LNBKKNJO_00125	CDS	1110	menE_1	6.2.1.26	COG0318	putative 2-succinylbenzoate--CoA ligase
LNBKKNJO_00126	CDS	1353				hypothetical protein
LNBKKNJO_00127	CDS	648				hypothetical protein
LNBKKNJO_00128	CDS	657		2.4.-.-	COG0463	putative glycosyltransferase
LNBKKNJO_00129	CDS	1707				hypothetical protein
LNBKKNJO_00130	CDS	1668				hypothetical protein
LNBKKNJO_00131	CDS	1041	wbiB	5.1.3.25		dTDP-L-rhamnose 4-epimerase
LNBKKNJO_00132	CDS	795	mtnP	2.4.2.28	COG0005	S-methyl-5'-thioadenosine phosphorylase
LNBKKNJO_00133	CDS	873	menA	2.5.1.74	COG1575	1,4-dihydroxy-2-naphthoate octaprenyltransferase
LNBKKNJO_00134	CDS	1008	fabH_1	2.3.1.180	COG0332	3-oxoacyl-[acyl-carrier-protein] synthase 3
LNBKKNJO_00135	CDS	369				hypothetical protein
LNBKKNJO_00136	CDS	153				hypothetical protein
LNBKKNJO_00137	CDS	1311				hypothetical protein
LNBKKNJO_00138	CDS	987	ccsA			Cytochrome c biogenesis protein CcsA
LNBKKNJO_00139	CDS	1680	ccs1			Cytochrome c biogenesis protein Ccs1
LNBKKNJO_00140	CDS	792				hypothetical protein
LNBKKNJO_00141	CDS	612	resA_1			Thiol-disulfide oxidoreductase ResA
LNBKKNJO_00142	CDS	609			COG0406	putative protein
LNBKKNJO_00143	CDS	1332	hemL	5.4.3.8	COG0001	Glutamate-1-semialdehyde 2,1-aminomutase
LNBKKNJO_00144	CDS	870	puuP_1		COG0531	Putrescine importer PuuP
LNBKKNJO_00145	CDS	471	puuP_2		COG0531	Putrescine importer PuuP
LNBKKNJO_00146	CDS	1140				putative protein
LNBKKNJO_00147	CDS	300				hypothetical protein
LNBKKNJO_00148	CDS	300				hypothetical protein
LNBKKNJO_00149	CDS	348				hypothetical protein
LNBKKNJO_00150	CDS	951	tarD	4.2.1.81	COG4948	D(-)-tartrate dehydratase
LNBKKNJO_00151	CDS	909	panE	1.1.1.169	COG1893	2-dehydropantoate 2-reductase
LNBKKNJO_00152	CDS	1107		3.2.1.28	COG3387	Trehalase
LNBKKNJO_00153	CDS	534				hypothetical protein
LNBKKNJO_00154	CDS	756				hypothetical protein
LNBKKNJO_00155	CDS	1050	sbpA		COG1613	Sulfate-binding protein
LNBKKNJO_00156	CDS	903				hypothetical protein
LNBKKNJO_00157	CDS	819	cysW_1		COG4208	Sulfate transport system permease protein CysW
LNBKKNJO_00158	CDS	1110	cysA	7.3.2.3	COG1118	Sulfate/thiosulfate import ATP-binding protein CysA
LNBKKNJO_00159	CDS	2004				hypothetical protein
LNBKKNJO_00160	CDS	1941	ggt	3.4.19.13	COG0405	Glutathione hydrolase proenzyme
LNBKKNJO_00161	CDS	450				hypothetical protein
LNBKKNJO_00162	CDS	750	cysH_1	1.8.4.8	COG0175	putative phosphoadenosine phosphosulfate reductase
LNBKKNJO_00163	CDS	1668	sir_1	1.8.7.1	COG0155	Sulfite reductase [ferredoxin]
LNBKKNJO_00164	CDS	1314	hemW		COG0635	Heme chaperone HemW
LNBKKNJO_00165	CDS	1236				hypothetical protein
LNBKKNJO_00166	CDS	210				putative proteinA/RVBD_2386A
LNBKKNJO_00167	CDS	1362	mbtI	5.4.99.5	COG0147	Salicylate synthase
LNBKKNJO_00168	CDS	837				hypothetical protein
LNBKKNJO_00169	CDS	1017	desA1_1	1.14.19.-		Putative acyl-[acyl-carrier-protein] desaturase DesA1
LNBKKNJO_00170	CDS	963				hypothetical protein
LNBKKNJO_00171	CDS	1524		1.14.13.-	COG2072	Baeyer-Villiger monooxygenase
LNBKKNJO_00172	CDS	921				hypothetical protein
LNBKKNJO_00173	CDS	861	ephD_1	1.-.-.-	COG1028	putative oxidoreductase EphD
LNBKKNJO_00174	CDS	996	aes_1	3.1.1.-		Acetyl esterase
LNBKKNJO_00175	CDS	1653	mbtA	6.2.1.-	COG1021	Salicyl-AMP ligase / salicyl-S-ArCP synthetase
LNBKKNJO_00176	CDS	102				hypothetical protein
LNBKKNJO_00177	CDS	1305	mbtG	1.14.13.59		L-lysine N6-monooxygenase MbtG
LNBKKNJO_00178	CDS	216	mbtH_1		COG3251	Protein MbtH
LNBKKNJO_00179	CDS	3075	pikAIII	2.3.1.239		Narbonolide/10-deoxymethynolide synthase PikA3, module 5
LNBKKNJO_00180	CDS	1320				Putative inactive phenolphthiocerol synthesis polyketide synthase type I Pks15
LNBKKNJO_00181	CDS	759	mbtB_1	6.3.2.-	COG1020	Phenyloxazoline synthase MbtB
LNBKKNJO_00182	CDS	606	iucB	2.3.1.102		N(6)-hydroxylysine O-acetyltransferase
LNBKKNJO_00183	CDS	5013	dhbF_1		COG1020	Dimodular nonribosomal peptide synthase
LNBKKNJO_00184	CDS	4539	srfAB			Surfactin synthase subunit 2
LNBKKNJO_00185	CDS	3492	mbtB_2	6.3.2.-	COG1020	Phenyloxazoline synthase MbtB
LNBKKNJO_00186	CDS	510				Low molecular weight antigen MTB12
LNBKKNJO_00187	CDS	900	sigJ_1			ECF RNA polymerase sigma factor SigJ
LNBKKNJO_00188	CDS	600				hypothetical protein
LNBKKNJO_00189	CDS	315				hypothetical protein
LNBKKNJO_00190	CDS	1032	hrcA		COG1420	Heat-inducible transcription repressor HrcA
LNBKKNJO_00191	CDS	1089	dnaJ2		COG0484	Chaperone protein DnaJ 2
LNBKKNJO_00192	CDS	723				hypothetical protein
LNBKKNJO_00193	CDS	1059			COG1702	PhoH-like protein
LNBKKNJO_00194	CDS	537	ybeY	3.1.-.-	COG0319	Endoribonuclease YbeY
LNBKKNJO_00195	CDS	1323				hypothetical protein
LNBKKNJO_00196	CDS	207				hypothetical protein
LNBKKNJO_00197	CDS	903	era		COG1159	GTPase Era
LNBKKNJO_00198	CDS	1500	amiA2	3.5.1.4	COG0154	Putative amidase AmiA2
LNBKKNJO_00199	CDS	798	recO			DNA repair protein RecO
LNBKKNJO_00200	CDS	891	uppS_1	2.5.1.86	COG0020	Decaprenyl diphosphate synthase
LNBKKNJO_00201	CDS	441				hypothetical protein
LNBKKNJO_00202	CDS	414	zur		COG0735	Zinc uptake regulation protein
LNBKKNJO_00203	CDS	396	smtB_1		COG0640	HTH-type transcriptional repressor SmtB
LNBKKNJO_00204	CDS	1392	glyQS	6.1.1.14	COG0423	Glycine--tRNA ligase
LNBKKNJO_00205	CDS	495				hypothetical protein
LNBKKNJO_00206	CDS	1542	ligB	6.5.1.1	COG1793	DNA ligase B
LNBKKNJO_00207	CDS	759		1.-.-.-		putative oxidoreductase
LNBKKNJO_00208	CDS	2166		1.3.99.-		Acyl-CoA dehydrogenase FadE34
LNBKKNJO_00209	CDS	675				hypothetical protein
LNBKKNJO_00210	CDS	831				putative protein
LNBKKNJO_00211	CDS	351				hypothetical protein
LNBKKNJO_00212	CDS	936				hypothetical protein
LNBKKNJO_00213	CDS	1476				hypothetical protein
LNBKKNJO_00214	CDS	963				hypothetical protein
LNBKKNJO_00215	CDS	153				hypothetical protein
LNBKKNJO_00216	CDS	531				hypothetical protein
LNBKKNJO_00217	CDS	1479		1.14.-.-	COG2124	Putative cytochrome P450 136
LNBKKNJO_00218	CDS	654	ethR_1			HTH-type transcriptional regulator EthR
LNBKKNJO_00219	CDS	876	sadH_1	1.-.-.-		Putative oxidoreductase SadH
LNBKKNJO_00220	CDS	603				hypothetical protein
LNBKKNJO_00221	CDS	558				hypothetical protein
LNBKKNJO_00222	CDS	522				hypothetical protein
LNBKKNJO_00223	CDS	240	nrdH		COG0695	Glutaredoxin-like protein NrdH
LNBKKNJO_00224	CDS	459	nrdI		COG1780	Protein NrdI
LNBKKNJO_00225	CDS	2166	nrdE	1.17.4.1	COG0209	Ribonucleoside-diphosphate reductase subunit alpha
LNBKKNJO_00226	CDS	744				putative HTH-type transcriptional regulator
LNBKKNJO_00227	CDS	1551		1.14.13.-	COG2072	Baeyer-Villiger monooxygenase
LNBKKNJO_00228	CDS	546				hypothetical protein
LNBKKNJO_00229	CDS	150				hypothetical protein
LNBKKNJO_00230	CDS	351				hypothetical protein
LNBKKNJO_00231	CDS	975	nrdF2	1.17.4.1	COG0208	Ribonucleoside-diphosphate reductase subunit beta nrdF2
LNBKKNJO_00232	CDS	384				hypothetical protein
LNBKKNJO_00233	CDS	1041	adhC	1.1.1.2	COG1064	NADP-dependent alcohol dehydrogenase C
LNBKKNJO_00234	CDS	1080				hypothetical protein
LNBKKNJO_00235	CDS	1722	ctaD_1	1.9.3.1	COG0843	putative cytochrome c oxidase subunit 1
LNBKKNJO_00236	CDS	1230	serB2	3.1.3.3	COG0560	Phosphoserine phosphatase SerB2
LNBKKNJO_00237	CDS	345			COG0640	putative HTH-type transcriptional regulator
LNBKKNJO_00238	CDS	480	hycG		COG3260	Formate hydrogenlyase subunit 7
LNBKKNJO_00239	CDS	1965	hyfB	1.-.-.-	COG0651	Hydrogenase-4 component B
LNBKKNJO_00240	CDS	960	hycD		COG0650	Formate hydrogenlyase subunit 4
LNBKKNJO_00241	CDS	663				hypothetical protein
LNBKKNJO_00242	CDS	1467	ndhB	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 2, chloroplastic
LNBKKNJO_00243	CDS	1500	hyfG	1.-.-.-	COG3261	Hydrogenase-4 component G
LNBKKNJO_00244	CDS	843	ylmA	3.6.3.-	COG1119	putative ABC transporter ATP-binding protein YlmA
LNBKKNJO_00245	CDS	843				hypothetical protein
LNBKKNJO_00246	CDS	774		4.2.1.17		putative enoyl-CoA hydratase echA17
LNBKKNJO_00247	CDS	984	COQ5_2	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
LNBKKNJO_00248	CDS	1038				hypothetical protein
LNBKKNJO_00249	CDS	684				Immunogenic protein MPT64
LNBKKNJO_00250	CDS	390				hypothetical protein
LNBKKNJO_00251	CDS	1293			COG1520	putative protein
LNBKKNJO_00252	CDS	837		2.3.1.-	COG0110	Putative acetyltransferase
LNBKKNJO_00253	CDS	780				hypothetical protein
LNBKKNJO_00254	CDS	546				hypothetical protein
LNBKKNJO_00255	CDS	1344	phrA	4.1.99.3		Deoxyribodipyrimidine photo-lyase
LNBKKNJO_00256	CDS	480	tspO		COG3476	Tryptophan-rich protein TspO
LNBKKNJO_00257	CDS	2115	apeX		COG2409	Apo-petrobactin exporter
LNBKKNJO_00258	CDS	1209	ampC	3.5.2.6		Beta-lactamase
LNBKKNJO_00259	CDS	504				hypothetical protein
LNBKKNJO_00260	CDS	588				hypothetical protein
LNBKKNJO_00261	CDS	642				hypothetical protein
LNBKKNJO_00262	CDS	696				putative protein
LNBKKNJO_00263	CDS	1356				hypothetical protein
LNBKKNJO_00264	CDS	978				hypothetical protein
LNBKKNJO_00265	CDS	1380		2.4.1.11	COG0438	Glycogen synthase
LNBKKNJO_00266	CDS	1596		2.4.1.18	COG1543	putative 1,4-alpha-glucan branching enzyme
LNBKKNJO_00267	CDS	819		2.1.1.-		putative S-adenosylmethionine-dependent methyltransferase
LNBKKNJO_00268	CDS	837				hypothetical protein
LNBKKNJO_00269	CDS	204	cspA_1		COG1278	putative cold shock protein A
LNBKKNJO_00270	CDS	1311	rhlE	3.6.4.13	COG0513	ATP-dependent RNA helicase RhlE
LNBKKNJO_00271	CDS	135				hypothetical protein
LNBKKNJO_00272	CDS	3735	metH_1	2.1.1.13	COG0646	Methionine synthase
LNBKKNJO_00273	CDS	669				hypothetical protein
LNBKKNJO_00274	CDS	426				hypothetical protein
LNBKKNJO_00275	CDS	1515				hypothetical protein
LNBKKNJO_00276	CDS	1260				hypothetical protein
LNBKKNJO_00277	CDS	210				hypothetical protein
LNBKKNJO_00278	CDS	504				hypothetical protein
LNBKKNJO_00279	CDS	600				hypothetical protein
LNBKKNJO_00280	CDS	1026				hypothetical protein
LNBKKNJO_00281	CDS	465				hypothetical protein
LNBKKNJO_00282	CDS	501				hypothetical protein
LNBKKNJO_00283	CDS	546			COG2826	IS30 family transposase ISLxc3
LNBKKNJO_00284	CDS	1284				hypothetical protein
LNBKKNJO_00285	CDS	336				hypothetical protein
LNBKKNJO_00286	CDS	858				hypothetical protein
LNBKKNJO_00287	CDS	933				hypothetical protein
LNBKKNJO_00288	CDS	1794				hypothetical protein
LNBKKNJO_00289	CDS	204				hypothetical protein
LNBKKNJO_00290	CDS	429				hypothetical protein
LNBKKNJO_00291	CDS	780	nagR_1		COG2188	HTH-type transcriptional repressor NagR
LNBKKNJO_00292	CDS	423				hypothetical protein
LNBKKNJO_00293	CDS	1086				hypothetical protein
